qp_x,qp_y,qp_z,tissue_id
2.07942910e-02,1.05769765e-02,1.07219676e-03,1
2.50151269e-02,1.05769765e-02,2.22688681e-03,1
2.78974567e-02,1.05769765e-02,3.01540270e-03,1
2.06673779e-02,1.05769765e-02,-1.44835445e-03,1
2.35497076e-02,1.05769765e-02,-6.59838377e-04,1
2.77705435e-02,1.05769765e-02,4.94851673e-04,1
3.19913775e-02,1.05769765e-02,1.64954178e-03,1
3.48737091e-02,1.05769765e-02,2.43805768e-03,1
2.54313275e-02,1.05769765e-02,-1.84261240e-03,1
2.83136573e-02,1.05769765e-02,-1.05409638e-03,1
3.25344950e-02,1.05769765e-02,1.00593657e-04,1
3.67553309e-02,1.05769765e-02,1.25528371e-03,1
3.96376587e-02,1.05769765e-02,2.04379973e-03,1
1.95092359e-03,1.31049864e-02,1.00593657e-04,1
4.83325263e-03,1.31049864e-02,8.89109680e-04,1
9.05408897e-03,1.31049864e-02,2.04379973e-03,1
1.32749248e-02,1.31049864e-02,3.19848978e-03,1
1.61572546e-02,1.31049864e-02,3.98700591e-03,1
6.71487441e-03,1.31049864e-02,-2.93664372e-04,1
9.59720369e-03,1.31049864e-02,4.94851673e-04,1
1.38180396e-02,1.31049864e-02,1.64954178e-03,1
1.80388745e-02,1.31049864e-02,2.80423183e-03,1
2.09212042e-02,1.31049864e-02,3.59274773e-03,1
1.36911264e-02,1.31049864e-02,-8.71009368e-04,1
1.65734552e-02,1.31049864e-02,-8.24933377e-05,1
2.07942910e-02,1.31049864e-02,1.07219676e-03,1
2.50151269e-02,1.31049864e-02,2.22688681e-03,1
2.78974567e-02,1.31049864e-02,3.01540270e-03,1
2.06673779e-02,1.31049864e-02,-1.44835445e-03,1
2.35497076e-02,1.31049864e-02,-6.59838377e-04,1
2.77705435e-02,1.31049864e-02,4.94851673e-04,1
3.19913775e-02,1.31049864e-02,1.64954178e-03,1
3.48737091e-02,1.31049864e-02,2.43805768e-03,1
2.54313275e-02,1.31049864e-02,-1.84261240e-03,1
2.83136573e-02,1.31049864e-02,-1.05409638e-03,1
3.25344950e-02,1.31049864e-02,1.00593657e-04,1
3.67553309e-02,1.31049864e-02,1.25528371e-03,1
3.96376587e-02,1.31049864e-02,2.04379973e-03,1
1.76280886e-02,6.45013584e-04,4.38938057e-03,1
2.05104165e-02,6.45013584e-04,5.17789647e-03,1
2.47312523e-02,6.45013584e-04,6.33258652e-03,1
2.89520882e-02,6.45013584e-04,7.48727657e-03,1
3.18344198e-02,6.45013584e-04,8.27579293e-03,1
2.23920383e-02,6.45013584e-04,3.99512239e-03,1
2.52743680e-02,6.45013584e-04,4.78363829e-03,1
2.94952039e-02,6.45013584e-04,5.93832834e-03,1
3.37160379e-02,6.45013584e-04,7.09301839e-03,1
3.65983695e-02,6.45013584e-04,7.88153429e-03,1
2.93682907e-02,6.45013584e-04,3.41777736e-03,1
3.22506204e-02,6.45013584e-04,4.20629326e-03,1
3.64714563e-02,6.45013584e-04,5.36098331e-03,1
4.06922922e-02,6.45013584e-04,6.51567336e-03,1
4.35746200e-02,6.45013584e-04,7.30418973e-03,1
3.63445431e-02,6.45013584e-04,2.84043234e-03,1
3.92268710e-02,6.45013584e-04,3.62894847e-03,1
4.34477068e-02,6.45013584e-04,4.78363829e-03,1
4.76685427e-02,6.45013584e-04,5.93832834e-03,1
5.05508706e-02,6.45013584e-04,6.72684470e-03,1
4.11084928e-02,6.45013584e-04,2.44617439e-03,1
4.39908206e-02,6.45013584e-04,3.23469052e-03,1
4.82116565e-02,6.45013584e-04,4.38938057e-03,1
5.24324924e-02,6.45013584e-04,5.54407062e-03,1
5.53148240e-02,6.45013584e-04,6.33258652e-03,1
1.76280886e-02,3.17302346e-03,4.38938057e-03,1
2.05104165e-02,3.17302346e-03,5.17789647e-03,1
2.47312523e-02,3.17302346e-03,6.33258652e-03,1
2.89520882e-02,3.17302346e-03,7.48727657e-03,1
3.18344198e-02,3.17302346e-03,8.27579293e-03,1
2.23920383e-02,3.17302346e-03,3.99512239e-03,1
2.52743680e-02,3.17302346e-03,4.78363829e-03,1
2.94952039e-02,3.17302346e-03,5.93832834e-03,1
3.37160379e-02,3.17302346e-03,7.09301839e-03,1
3.65983695e-02,3.17302346e-03,7.88153429e-03,1
2.93682907e-02,3.17302346e-03,3.41777736e-03,1
3.22506204e-02,3.17302346e-03,4.20629326e-03,1
3.64714563e-02,3.17302346e-03,5.36098331e-03,1
4.06922922e-02,3.17302346e-03,6.51567336e-03,1
4.35746200e-02,3.17302346e-03,7.30418973e-03,1
3.63445431e-02,3.17302346e-03,2.84043234e-03,1
3.92268710e-02,3.17302346e-03,3.62894847e-03,1
